listing_id,date,locality,property_type,area_sqft,asking_price,age_years,road_width_ft,latitude,longitude,source
LS057,2026-02-15,Shambhu,independent_house,1300,3431000,12,40,30.4358,76.6877,DEMO
LS058,2026-02-11,Ghanaur,flat,900,2001000,10,18,30.4002,76.6214,DEMO
LS059,2026-02-10,Rajpura,independent_house,1860,5375000,8,25,30.4836,76.5874,DEMO
LS060,2026-02-01,Banur,plot,2900,8017000,0,18,30.5371,76.7014,DEMO
LS061,2026-01-28,Rajpura,independent_house,1880,5377000,9,20,30.4882,76.5898,DEMO
LS062,2026-01-17,Rajpura,shop,350,2480000,18,40,30.4807,76.5866,DEMO
LS063,2026-01-16,Rajpura,independent_house,2400,7777000,1,40,30.4918,76.5954,DEMO
LS064,2026-01-15,Rajpura,independent_house,1700,5236000,4,30,30.4869,76.597,DEMO
LS065,2026-01-12,Rajpura,independent_house,1500,5315000,12,18,30.4821,76.588,DEMO
LS066,2026-01-11,Banur,flat,1650,4675000,8,18,30.5305,76.7037,DEMO
LS067,2026-01-05,Shambhu,shop,200,1028000,18,20,30.4422,76.6817,DEMO
LS068,2026-01-04,Sarai Banjara,plot,1700,3564000,0,18,30.4543,76.5232,DEMO
LS069,2025-12-26,Patiala Road,independent_house,2250,7795000,13,18,30.4628,76.5627,DEMO
LS070,2025-12-24,Banur,flat,1550,4408000,13,40,30.5375,76.7077,DEMO
LS071,2025-12-21,Shambhu,independent_house,1900,5175000,10,18,30.435,76.6927,DEMO
LS072,2025-12-20,Rajpura,independent_house,1800,5436000,8,25,30.4825,76.5997,DEMO
LS073,2025-12-20,Ghanaur,shop,800,3987000,10,18,30.4058,76.6243,DEMO
LS074,2025-12-18,Patiala Road,shop,350,2479000,6,18,30.465,76.5588,DEMO
LS075,2025-12-12,Ghanaur,flat,850,1927000,7,20,30.4122,76.6228,DEMO
LS076,2025-12-11,Patiala Road,agricultural_land,4950,3507000,0,40,30.4675,76.5532,DEMO
LS077,2025-12-09,Patiala Road,agricultural_land,5300,3422000,0,60,30.4677,76.555,DEMO
LS078,2025-12-08,Patiala Road,agricultural_land,7800,5306000,0,25,30.4662,76.5631,DEMO
LS079,2025-12-06,Ghanaur,plot,2050,4473000,0,40,30.4062,76.628,DEMO
LS080,2025-11-27,Patiala Road,agricultural_land,19950,14087000,0,20,30.4688,76.5594,DEMO
LS081,2025-11-24,Shambhu,plot,3450,8087000,0,40,30.4408,76.6978,DEMO
LS082,2025-11-23,Shambhu,agricultural_land,6700,3454000,0,30,30.435,76.6819,DEMO
LS083,2025-11-17,Shambhu,independent_house,1650,4356000,12,30,30.4326,76.6874,DEMO
LS084,2025-11-05,Banur,independent_house,1950,5685000,15,18,30.5322,76.7181,DEMO
LS085,2025-11-01,Shambhu,flat,1450,3542000,6,30,30.4383,76.6893,DEMO
LS086,2025-10-21,Banur,flat,900,2530000,5,60,30.5394,76.7123,DEMO
LS087,2025-10-19,Ghanaur,plot,1950,4033000,0,40,30.4099,76.6288,DEMO
LS088,2025-10-16,Banur,shop,900,5417000,14,20,30.5463,76.716,DEMO
LS089,2025-10-14,Rajpura,agricultural_land,14400,8801000,0,30,30.483,76.5889,DEMO
LS090,2025-10-07,Ghanaur,agricultural_land,15950,7459000,0,20,30.4146,76.623,DEMO
LS091,2025-09-25,Ghanaur,flat,850,1829000,9,25,30.406,76.6245,DEMO
LS092,2025-09-20,Banur,plot,950,2413000,0,60,30.5422,76.7085,DEMO
LS093,2025-09-20,Ghanaur,independent_house,2600,6120000,18,25,30.4187,76.6239,DEMO
LS094,2025-09-19,Rajpura,shop,700,4531000,16,18,30.4759,76.5859,DEMO
LS095,2025-09-17,Banur,agricultural_land,16100,9353000,0,25,30.5371,76.7156,DEMO
LS096,2025-09-04,Banur,agricultural_land,13000,7440000,0,60,30.5317,76.7195,DEMO
LS097,2025-09-04,Shambhu,agricultural_land,15700,8092000,0,18,30.4356,76.692,DEMO
LS098,2025-08-28,Banur,independent_house,2600,7674000,16,20,30.5374,76.7189,DEMO
LS099,2025-08-20,Patiala Road,shop,500,3463000,10,18,30.4702,76.5608,DEMO
LS100,2025-08-18,Banur,plot,2050,5479000,0,60,30.543,76.7158,DEMO
LS101,2025-08-15,Patiala Road,independent_house,2250,7213000,17,60,30.4623,76.5602,DEMO
LS102,2025-08-05,Patiala Road,flat,1300,4211000,10,25,30.4624,76.5599,DEMO
LS103,2025-07-24,Shambhu,independent_house,2750,7102000,15,20,30.448,76.6889,DEMO
LS104,2025-07-24,Ghanaur,shop,950,4310000,10,60,30.4012,76.6254,DEMO
LS105,2025-07-16,Ghanaur,independent_house,2700,6361000,10,20,30.4188,76.6296,DEMO
LS106,2025-07-04,Banur,plot,2250,5799000,0,18,30.5366,76.7059,DEMO
LS107,2025-06-28,Shambhu,flat,1850,4391000,4,20,30.4458,76.6847,DEMO
LS108,2025-06-25,Shambhu,agricultural_land,7900,4237000,0,40,30.4368,76.6985,DEMO
LS109,2025-06-24,Ghanaur,agricultural_land,16250,7967000,0,30,30.403,76.6236,DEMO
LS110,2025-06-20,Banur,shop,850,4877000,2,60,30.5474,76.7071,DEMO
LS111,2025-06-07,Banur,agricultural_land,4800,2893000,0,25,30.5389,76.7015,DEMO
LS112,2025-06-02,Shambhu,agricultural_land,15650,8172000,0,25,30.4486,76.6864,DEMO
LS113,2025-06-01,Rajpura,flat,1350,4056000,9,20,30.4939,76.595,DEMO
LS114,2025-06-01,Patiala Road,independent_house,2300,7184000,7,20,30.472,76.5652,DEMO
LS115,2025-05-13,Patiala Road,shop,450,3089000,17,40,30.4767,76.5661,DEMO
LS116,2025-05-09,Rajpura,independent_house,1950,6146000,18,20,30.4858,76.6005,DEMO
LS117,2025-05-09,Shambhu,agricultural_land,11000,5766000,0,18,30.4401,76.6834,DEMO
LS118,2025-05-08,Banur,independent_house,2050,6040000,13,60,30.5388,76.7191,DEMO
LS119,2025-05-02,Shambhu,shop,600,2761000,12,25,30.4412,76.6873,DEMO
LS120,2025-04-23,Ghanaur,plot,2700,5171000,0,30,30.403,76.6238,DEMO
LS121,2025-04-21,Patiala Road,shop,550,3701000,4,25,30.4715,76.5661,DEMO
LS122,2025-04-17,Banur,flat,1850,5042000,11,20,30.5309,76.7109,DEMO
LS123,2025-04-12,Rajpura,agricultural_land,15000,8920000,0,60,30.4871,76.5996,DEMO
LS124,2025-04-03,Rajpura,agricultural_land,13350,7846000,0,40,30.4766,76.5916,DEMO
LS125,2025-04-03,Patiala Road,independent_house,1400,4547000,15,40,30.4711,76.5658,DEMO
LS126,2025-04-01,Patiala Road,shop,750,4843000,14,40,30.468,76.5516,DEMO
LS127,2025-03-28,Patiala Road,independent_house,3000,9562000,2,60,30.4616,76.5589,DEMO
LS128,2025-03-28,Patiala Road,shop,400,2627000,11,20,30.4734,76.5666,DEMO
LS129,2025-03-27,Banur,plot,1800,4560000,0,40,30.5329,76.7087,DEMO
LS130,2025-03-06,Rajpura,agricultural_land,9650,5820000,0,60,30.4801,76.5924,DEMO
LS131,2025-02-28,Banur,shop,600,3320000,12,40,30.546,76.7136,DEMO
LS132,2025-02-23,Banur,flat,1250,3379000,18,18,30.5442,76.7103,DEMO
LS133,2025-02-22,Patiala Road,independent_house,2550,8429000,12,18,30.4716,76.5543,DEMO
LS134,2025-02-14,Banur,independent_house,1800,5402000,11,25,30.5403,76.7198,DEMO
LS135,2025-02-13,Patiala Road,plot,2150,6236000,0,18,30.4772,76.5615,DEMO
LS136,2025-02-08,Rajpura,flat,900,2537000,4,20,30.4918,76.5869,DEMO
LS137,2025-02-01,Shambhu,agricultural_land,14650,7453000,0,25,30.4428,76.686,DEMO
LS138,2025-01-30,Shambhu,plot,3500,7530000,0,40,30.4353,76.6842,DEMO
LS139,2025-01-27,Rajpura,flat,1000,2750000,8,40,30.4806,76.5877,DEMO
LS140,2025-01-17,Banur,agricultural_land,17700,9942000,0,60,30.5329,76.7086,DEMO
