transaction_id,date,locality,property_type,area_sqft,sale_price,latitude,longitude,source
TX045,2025-09-27,Rajpura,agricultural_land,12250,6660000,30.4927,76.6018,DEMO
TX046,2025-09-27,Patiala Road,independent_house,2800,8358000,30.4782,76.551,DEMO
TX047,2025-09-17,Banur,agricultural_land,17750,9494000,30.5465,76.7118,DEMO
TX048,2025-08-27,Shambhu,independent_house,2350,5567000,30.4369,76.6999,DEMO
TX049,2025-08-26,Rajpura,shop,550,3482000,30.4779,76.5861,DEMO
TX050,2025-08-21,Patiala Road,plot,3600,9726000,30.4763,76.5592,DEMO
TX051,2025-08-15,Banur,shop,450,2518000,30.5496,76.7107,DEMO
TX052,2025-08-14,Rajpura,independent_house,1650,4868000,30.4796,76.5956,DEMO
TX053,2025-08-10,Ghanaur,independent_house,1200,2709000,30.4136,76.6132,DEMO
TX054,2025-07-27,Patiala Road,plot,900,2536000,30.4713,76.552,DEMO
TX055,2025-07-21,Banur,shop,300,1572000,30.5426,76.7039,DEMO
TX056,2025-07-21,Ghanaur,agricultural_land,13650,6335000,30.4174,76.6296,DEMO
TX057,2025-07-03,Ghanaur,shop,400,1664000,30.4069,76.621,DEMO
TX058,2025-07-02,Rajpura,independent_house,1800,5364000,30.4891,76.5863,DEMO
TX059,2025-06-26,Rajpura,flat,950,2653000,30.4912,76.5862,DEMO
TX060,2025-06-23,Patiala Road,independent_house,1700,5139000,30.4686,76.5502,DEMO
TX061,2025-06-20,Ghanaur,plot,3600,6216000,30.4182,76.6103,DEMO
TX062,2025-06-18,Shambhu,agricultural_land,11350,5149000,30.4438,76.694,DEMO
TX063,2025-06-11,Shambhu,flat,1750,3773000,30.4398,76.6818,DEMO
TX064,2025-06-10,Banur,shop,400,2015000,30.5404,76.713,DEMO
TX065,2025-06-07,Ghanaur,flat,950,1941000,30.4152,76.6241,DEMO
TX066,2025-06-02,Patiala Road,flat,1400,3720000,30.4733,76.5566,DEMO
TX067,2025-05-30,Patiala Road,independent_house,1850,5715000,30.4721,76.5564,DEMO
TX068,2025-05-23,Banur,agricultural_land,16900,9167000,30.541,76.7179,DEMO
TX069,2025-05-20,Banur,plot,3350,7634000,30.5461,76.7139,DEMO
TX070,2025-05-19,Rajpura,independent_house,1750,5075000,30.489,76.5974,DEMO
TX071,2025-05-17,Rajpura,shop,750,4418000,30.4914,76.5853,DEMO
TX072,2025-05-13,Banur,shop,600,3030000,30.5316,76.7004,DEMO
TX073,2025-05-10,Banur,independent_house,1200,3318000,30.5321,76.7192,DEMO
TX074,2025-05-01,Banur,agricultural_land,15900,7817000,30.5467,76.7078,DEMO
TX075,2025-04-24,Patiala Road,flat,1100,2878000,30.4747,76.5566,DEMO
TX076,2025-04-10,Rajpura,independent_house,1820,5205000,30.4815,76.5887,DEMO
TX077,2025-04-04,Rajpura,plot,1050,2780000,30.4901,76.5864,DEMO
TX078,2025-03-29,Banur,shop,950,4739000,30.5431,76.7001,DEMO
TX079,2025-03-01,Ghanaur,shop,800,3401000,30.4158,76.623,DEMO
TX080,2025-02-28,Rajpura,independent_house,1880,5226000,30.4914,76.5916,DEMO
TX081,2025-02-24,Ghanaur,shop,400,1545000,30.412,76.6249,DEMO
TX082,2025-02-23,Ghanaur,flat,1750,3191000,30.4155,76.6109,DEMO
TX083,2025-02-15,Banur,plot,1700,3836000,30.5391,76.7068,DEMO
TX084,2025-02-15,Banur,agricultural_land,19600,9787000,30.5399,76.7065,DEMO
TX085,2025-02-07,Banur,independent_house,3000,7709000,30.5443,76.7015,DEMO
TX086,2025-01-28,Rajpura,independent_house,1700,4739000,30.4875,76.5982,DEMO
TX087,2025-01-25,Banur,shop,600,2919000,30.5421,76.715,DEMO
TX088,2025-01-10,Ghanaur,flat,1650,3119000,30.41,76.6188,DEMO
TX089,2025-01-04,Ghanaur,plot,1800,3085000,30.4029,76.6206,DEMO
TX090,2024-12-27,Banur,shop,500,2605000,30.5368,76.7176,DEMO
TX091,2024-12-21,Shambhu,agricultural_land,12450,5796000,30.4354,76.685,DEMO
TX092,2024-12-17,Banur,agricultural_land,5300,2571000,30.5314,76.7191,DEMO
TX093,2024-12-12,Banur,agricultural_land,5050,2541000,30.5432,76.7014,DEMO
TX094,2024-12-05,Rajpura,independent_house,1720,4954000,30.4776,76.5877,DEMO
TX095,2024-11-18,Banur,flat,1250,2829000,30.5408,76.7028,DEMO
TX096,2024-11-13,Shambhu,independent_house,2500,5361000,30.4321,76.6832,DEMO
TX097,2024-10-10,Ghanaur,agricultural_land,13700,5718000,30.4177,76.6198,DEMO
TX098,2024-10-04,Patiala Road,agricultural_land,5550,2959000,30.4717,76.5601,DEMO
TX099,2024-09-30,Rajpura,agricultural_land,9100,4740000,30.4875,76.5917,DEMO
TX100,2024-09-11,Shambhu,independent_house,1750,3556000,30.4407,76.6855,DEMO
TX101,2024-09-09,Banur,flat,1000,2369000,30.542,76.7024,DEMO
TX102,2024-09-07,Patiala Road,independent_house,1550,4338000,30.4733,76.5565,DEMO
TX103,2024-09-03,Rajpura,plot,2900,7379000,30.4843,76.5882,DEMO
TX104,2024-08-21,Shambhu,plot,2650,5036000,30.4325,76.6974,DEMO
TX105,2024-08-19,Shambhu,agricultural_land,16000,6655000,30.4358,76.6857,DEMO
TX106,2024-08-13,Shambhu,shop,950,4037000,30.438,76.6952,DEMO
TX107,2024-08-06,Patiala Road,flat,1400,3491000,30.4767,76.5641,DEMO
TX108,2024-08-04,Patiala Road,flat,950,2474000,30.4727,76.5567,DEMO
TX109,2024-08-02,Shambhu,agricultural_land,19250,8934000,30.4467,76.6859,DEMO
TX110,2024-07-25,Patiala Road,plot,3350,8342000,30.4702,76.5636,DEMO
TX111,2024-07-19,Ghanaur,flat,950,1750000,30.4171,76.6168,DEMO
TX112,2024-07-13,Ghanaur,independent_house,2800,5414000,30.4096,76.6194,DEMO
TX113,2024-06-30,Patiala Road,shop,550,3021000,30.474,76.5577,DEMO
TX114,2024-06-30,Ghanaur,plot,1550,2589000,30.4186,76.6188,DEMO
TX115,2024-06-27,Rajpura,plot,2100,5305000,30.4898,76.5899,DEMO
TX116,2024-06-26,Rajpura,shop,400,2102000,30.489,76.595,DEMO
TX117,2024-06-26,Rajpura,agricultural_land,8200,4236000,30.4862,76.6035,DEMO
TX118,2024-06-25,Patiala Road,plot,1300,3121000,30.4621,76.5611,DEMO
TX119,2024-06-23,Rajpura,plot,3200,8118000,30.4893,76.5944,DEMO
TX120,2024-06-18,Patiala Road,agricultural_land,12050,6370000,30.4743,76.5548,DEMO
TX121,2024-06-14,Banur,shop,900,4442000,30.5468,76.7055,DEMO
TX122,2024-06-01,Shambhu,flat,900,1832000,30.4396,76.6964,DEMO
TX123,2024-04-26,Patiala Road,agricultural_land,5700,3048000,30.4788,76.5614,DEMO
TX124,2024-04-23,Shambhu,shop,300,1278000,30.4458,76.6925,DEMO
TX125,2024-04-21,Rajpura,independent_house,1450,4004000,30.4817,76.5933,DEMO
TX126,2024-04-05,Banur,flat,1300,2946000,30.5329,76.7009,DEMO
TX127,2024-04-01,Patiala Road,independent_house,1900,4815000,30.4639,76.5566,DEMO
TX128,2024-03-25,Banur,flat,1600,3393000,30.5397,76.7078,DEMO
TX129,2024-03-19,Shambhu,flat,1150,2245000,30.4355,76.6918,DEMO
TX130,2024-03-13,Rajpura,shop,950,5305000,30.4921,76.5875,DEMO
TX131,2024-03-13,Patiala Road,shop,900,5023000,30.4759,76.5692,DEMO
TX132,2024-03-11,Rajpura,agricultural_land,12050,6154000,30.482,76.6025,DEMO
TX133,2024-03-06,Patiala Road,plot,2000,5003000,30.4733,76.5571,DEMO
TX134,2024-03-01,Shambhu,agricultural_land,6500,2786000,30.4353,76.6816,DEMO
TX135,2024-02-12,Ghanaur,shop,650,2515000,30.4171,76.6121,DEMO
TX136,2024-01-30,Shambhu,plot,3200,5522000,30.4449,76.699,DEMO
TX137,2024-01-29,Rajpura,independent_house,3000,7964000,30.475,76.5888,DEMO
TX138,2023-12-25,Shambhu,plot,3300,5751000,30.443,76.6983,DEMO
TX139,2023-12-15,Ghanaur,agricultural_land,8600,3154000,30.4122,76.6177,DEMO
TX140,2023-12-07,Ghanaur,plot,2300,3713000,30.4181,76.6109,DEMO
TX141,2023-12-02,Banur,plot,3350,7303000,30.5322,76.7005,DEMO
TX142,2023-11-14,Rajpura,agricultural_land,16450,7711000,30.4785,76.5854,DEMO
TX143,2023-11-13,Ghanaur,flat,1500,2387000,30.4156,76.6153,DEMO
TX144,2023-11-09,Banur,flat,1450,3131000,30.5313,76.7082,DEMO
TX145,2023-11-02,Patiala Road,plot,3100,7397000,30.4767,76.5617,DEMO
TX146,2023-09-19,Patiala Road,flat,1500,3403000,30.4673,76.5687,DEMO
TX147,2023-09-18,Patiala Road,independent_house,2950,7273000,30.4733,76.5576,DEMO
TX148,2023-09-16,Banur,flat,1200,2487000,30.5323,76.719,DEMO
TX149,2023-09-05,Rajpura,agricultural_land,15550,7215000,30.4754,76.5846,DEMO
TX150,2023-08-29,Ghanaur,plot,2350,3681000,30.4031,76.6287,DEMO
TX151,2023-08-25,Patiala Road,shop,1000,5229000,30.4715,76.5551,DEMO
TX152,2023-08-24,Shambhu,flat,1500,2718000,30.443,76.6982,DEMO
TX153,2023-08-11,Patiala Road,independent_house,1300,3335000,30.4669,76.5657,DEMO
TX154,2023-07-11,Rajpura,agricultural_land,4350,2158000,30.4911,76.5875,DEMO
TX155,2023-07-06,Rajpura,agricultural_land,16600,8063000,30.4913,76.5873,DEMO
TX156,2023-06-30,Shambhu,plot,2350,3844000,30.4365,76.6994,DEMO
TX157,2023-06-27,Banur,independent_house,1950,4265000,30.539,76.715,DEMO
TX158,2023-06-24,Shambhu,agricultural_land,11750,4939000,30.4324,76.6953,DEMO
TX159,2023-06-21,Banur,shop,200,891000,30.5327,76.7092,DEMO
TX160,2023-06-01,Shambhu,shop,950,3584000,30.4437,76.683,DEMO
TX161,2023-05-03,Shambhu,flat,950,1598000,30.4362,76.695,DEMO
TX162,2023-04-29,Rajpura,independent_house,1950,4572000,30.4854,76.5858,DEMO
TX163,2023-04-27,Patiala Road,agricultural_land,8000,4171000,30.4616,76.5537,DEMO
TX164,2023-04-01,Patiala Road,shop,600,2885000,30.4754,76.5627,DEMO
TX165,2023-03-30,Rajpura,independent_house,2000,4936000,30.4848,76.6037,DEMO
TX166,2023-03-23,Patiala Road,agricultural_land,19200,9538000,30.4684,76.5617,DEMO
TX167,2023-03-17,Ghanaur,flat,1600,2413000,30.4193,76.6166,DEMO
TX168,2023-03-07,Rajpura,plot,1600,3540000,30.4821,76.5855,DEMO
TX169,2023-03-06,Rajpura,flat,950,2165000,30.4755,76.589,DEMO
TX170,2023-03-05,Banur,plot,3300,6713000,30.534,76.7004,DEMO
TX171,2023-03-01,Ghanaur,shop,350,1239000,30.4122,76.6148,DEMO
TX172,2023-02-26,Patiala Road,agricultural_land,12450,5780000,30.4794,76.5536,DEMO
TX173,2023-02-12,Shambhu,agricultural_land,19000,7733000,30.4434,76.6854,DEMO
TX174,2023-02-05,Shambhu,shop,900,3109000,30.4344,76.6938,DEMO
TX175,2023-01-26,Shambhu,shop,350,1279000,30.4394,76.6888,DEMO
TX176,2023-01-21,Banur,independent_house,2950,6387000,30.5338,76.7048,DEMO
TX177,2023-01-17,Patiala Road,agricultural_land,17500,8603000,30.4711,76.5686,DEMO
TX178,2023-01-17,Sarai Banjara,shop,600,2064000,30.4587,76.5349,DEMO
TX179,2023-01-06,Ghanaur,agricultural_land,10800,3686000,30.406,76.6217,DEMO
TX180,2023-01-03,Shambhu,shop,1000,3670000,30.4409,76.6883,DEMO
